,threshold-competitive,impact-long-queues,initial-corona-number,service-timeSA,policy-implemented,time-slot?,percentage-competitive,cum-infected,average-timequeue,min-timequeue,max-timequeue,cum-infected-10080,cum-infected-18720
116,30,3,3,3,policy 0 (baseline),False,10,246,258.4545455,2,882,12,45
117,30,3,3,3,policy 0 (baseline),False,10,266,257.6818182,2,873,10,40
118,30,3,3,3,policy 0 (baseline),False,10,276,335.0340909,2,963,7,37
119,30,3,3,3,policy 0 (baseline),False,10,515,314.9545455,2,850,12,84
120,30,3,3,4,policy 0 (baseline),False,10,611,424.4659091,3,980,10,116
121,30,3,3,4,policy 0 (baseline),False,10,220,514.5340909,3,1135,15,38
122,30,3,3,4,policy 0 (baseline),False,10,444,517.9090909,3,1132,10,57
123,30,3,3,4,policy 0 (baseline),False,10,436,483.2670455,3,1015,19,66
124,30,3,3,4,policy 0 (baseline),False,10,532,410.1590909,3,970,13,92
125,30,3,3,4,policy 0 (baseline),False,10,676,417.6534091,3,998,8,114
126,30,3,3,4,policy 0 (baseline),False,10,599,441.1761364,3,993,11,128
127,30,3,3,4,policy 0 (baseline),False,10,717,544.5795455,3,1226,14,154
128,30,3,3,4,policy 0 (baseline),False,10,421,440.1875,3,995,10,65
129,30,3,3,4,policy 0 (baseline),False,10,569,463.4886364,3,1027,12,91
130,30,3,3,5,policy 0 (baseline),False,10,793,798.2670455,4,1813,10,176
131,30,3,3,5,policy 0 (baseline),False,10,582,642.7954545,4,1193,10,96
132,30,3,3,5,policy 0 (baseline),False,10,309,682.0511364,4,1259,12,45
133,30,3,3,5,policy 0 (baseline),False,10,530,608.3125,4,1166,18,89
134,30,3,3,5,policy 0 (baseline),False,10,706,666.9545455,4,1283,17,140
135,30,3,3,5,policy 0 (baseline),False,10,577,636.9318182,4,1231,14,96
136,30,3,3,5,policy 0 (baseline),False,10,711,533.8693182,4,1105,18,158
137,30,3,3,5,policy 0 (baseline),False,10,668,655.6818182,4,1221,17,116
138,30,3,3,5,policy 0 (baseline),False,10,505,675.4545455,4,1239,11,94
139,30,3,3,5,policy 0 (baseline),False,10,767,650.3068182,4,1305,14,194
140,30,3,3,6,policy 0 (baseline),False,10,475,765.8295455,5,1351,11,74
141,30,3,3,6,policy 0 (baseline),False,10,386,704.1761364,5,1292,10,65
142,30,3,3,6,policy 0 (baseline),False,10,465,721.4147727,6,1306,9,63
143,30,3,3,6,policy 0 (baseline),False,10,687,687.2215909,5,1318,15,133
144,30,3,3,6,policy 0 (baseline),False,10,789,964.1931818,5,2187,12,191
145,30,3,3,6,policy 0 (baseline),False,10,485,778.0625,5,1405,11,59
146,30,3,3,6,policy 0 (baseline),False,10,639,1031.869318,5,2491,14,109
147,30,3,3,6,policy 0 (baseline),False,10,592,758.5227273,5,1355,15,91
148,30,3,3,6,policy 0 (baseline),False,10,755,955.3522727,5,2370,14,163
149,30,3,3,6,policy 0 (baseline),False,10,455,752.3636364,5,1369,9,71
150,30,3,4,2,policy 0 (baseline),False,10,551,166.5795455,1,395,16,99
151,30,3,4,2,policy 0 (baseline),False,10,412,14.77840909,1,45,17,67
152,30,3,4,2,policy 0 (baseline),False,10,632,122.0568182,1,326,20,111
153,30,3,4,2,policy 0 (baseline),False,10,574,41.22727273,1,141,16,90
154,30,3,4,2,policy 0 (baseline),False,10,522,116.2329545,1,312,12,81
155,30,3,4,2,policy 0 (baseline),False,10,514,93.81818182,1,256,13,91
156,30,3,4,2,policy 0 (baseline),False,10,712,120.4488636,1,299,18,135
157,30,3,4,2,policy 0 (baseline),False,10,358,36.26666667,1,159,11,54
158,30,3,4,2,policy 0 (baseline),False,10,496,108.7897727,1,305,13,84
159,30,3,4,2,policy 0 (baseline),False,10,555,64.35227273,1,259,20,93
